Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
22,Male,Information Technology,1,7.5,1,0,1
23,Female,Computer Science,1,7.3,1,1,1
22,Female,Computer Science,1,7.0,0,1,1
25,Female,Electronics And Communication,0,7.5,0,1,0
22,Female,Information Technology,1,7.5,1,1,1
22,Male,Information Technology,1,7.5,0,1,1
23,Male,Mechanical,0,7.3,1,1,0
21,Female,Computer Science,1,8.0,1,0,1
25,Male,Electronics And Communication,1,7.2,0,1,0
21,Male,Information Technology,1,6.3,0,0,1
28,Male,Electronics And Communication,1,6.6,1,1,1
25,Male,Civil,1,5.4,1,0,1
22,Female,Information Technology,0,9.0,1,0,1
20,Male,Electronics And Communication,0,8.0,1,0,1
25,Male,Electrical,1,6.5,1,0,1
24,Male,Information Technology,0,6.9,0,1,0
24,Female,Electronics And Communication,0,6.6,0,1,0
25,Male,Information Technology,0,8.6,0,1,0
21,Male,Computer Science,1,5.9,0,1,0
22,Female,Mechanical,0,7.3,0,0,0
21,Female,Mechanical,1,7.1,0,1,0
25,Male,Electrical,1,7.9,0,0,1
24,Male,Information Technology,0,7.1,0,1,0
22,Male,Computer Science,1,5.6,1,0,1
21,Male,Mechanical,1,7.0,1,0,1
22,Male,Electronics And Communication,1,6.3,0,1,0
22,Male,Information Technology,1,7.3,1,1,1
24,Male,Information Technology,0,8.5,0,1,1
24,Male,Electronics And Communication,1,5.6,1,1,0
26,Female,Computer Science,0,6.5,0,0,1
23,Female,Mechanical,1,6.7,1,1,1
21,Female,Mechanical,1,6.9,0,1,1
24,Male,Electronics And Communication,1,7.9,1,0,1
24,Male,Electronics And Communication,0,7.0,0,0,1
23,Female,Computer Science,0,7.6,1,0,1
25,Male,Civil,0,6.6,0,1,0
23,Male,Electronics And Communication,1,7.4,0,0,1
23,Male,Information Technology,0,7.9,1,0,1
23,Female,Electronics And Communication,1,6.5,0,0,1
20,Female,Information Technology,0,7.9,1,0,1
21,Male,Computer Science,1,7.2,0,1,1
20,Male,Mechanical,0,8.1,0,1,0
24,Female,Computer Science,1,7.0,1,0,1
22,Male,Information Technology,1,7.5,0,0,1
23,Female,Computer Science,1,7.2,0,0,1
26,Female,Information Technology,1,7.1,1,1,1
22,Female,Civil,0,7.4,1,0,1
23,Male,Electronics And Communication,1,7.7,1,0,1
24,Male,Civil,0,6.1,0,1,0
22,Male,Information Technology,0,8.5,1,0,1
21,Female,Electronics And Communication,1,5.5,0,1,1
22,Female,Computer Science,1,6.6,0,0,1
21,Male,Electronics And Communication,1,7.1,1,1,1
26,Male,Information Technology,0,7.6,0,0,1
25,Female,Mechanical,0,8.6,0,0,1
24,Female,Electronics And Communication,0,5.5,0,0,1
26,Female,Information Technology,0,6.7,1,1,0
25,Male,Mechanical,0,5.3,1,1,0
22,Male,Civil,0,7.2,1,0,1
26,Female,Information Technology,0,7.4,0,1,0
23,Female,Electrical,1,8.6,1,1,1
25,Male,Information Technology,0,7.3,1,1,0
26,Male,Computer Science,1,8.1,0,1,0
22,Male,Mechanical,0,7.7,0,0,1
21,Male,Computer Science,1,6.8,0,1,0
22,Male,Computer Science,1,5.9,0,0,0
23,Female,Computer Science,0,7.4,1,0,1
25,Male,Mechanical,1,5.9,0,0,1
25,Female,Mechanical,0,8.4,0,1,0
20,Male,Computer Science,1,7.1,1,1,1
23,Female,Computer Science,0,8.3,1,1,0
23,Female,Computer Science,1,6.8,1,1,1
22,Male,Information Technology,0,7.4,0,1,0
21,Male,Computer Science,0,7.4,0,0,1
22,Male,Mechanical,1,7.2,0,0,1
27,Male,Computer Science,0,6.8,0,0,1
22,Female,Computer Science,1,7.6,0,0,1
23,Female,Electronics And Communication,1,6.4,1,0,1
24,Male,Computer Science,1,6.1,0,0,1
22,Male,Electrical,0,8.3,0,1,1
28,Male,Computer Science,1,7.9,0,1,1
27,Female,Electronics And Communication,1,7.3,1,1,1
22,Male,Computer Science,0,8.7,1,1,1
23,Male,Computer Science,0,7.0,1,0,1
22,Female,Electronics And Communication,0,8.4,0,1,0
22,Female,Computer Science,1,7.4,0,0,1
20,Male,Information Technology,0,6.3,0,0,0
24,Female,Information Technology,1,8.9,0,1,1
23,Male,Computer Science,0,8.1,1,0,1
21,Male,Computer Science,0,7.1,1,0,1
22,Female,Electrical,1,7.9,1,0,1
26,Female,Computer Science,1,6.8,1,1,1
22,Male,Computer Science,1,7.9,1,1,1
21,Male,Computer Science,1,5.0,0,0,1
23,Male,Computer Science,1,6.3,1,1,1
28,Male,Mechanical,0,8.1,0,0,1
22,Male,Electronics And Communication,0,7.0,1,0,0
24,Male,Information Technology,1,7.4,0,0,1
24,Male,Electronics And Communication,1,6.0,0,1,1
22,Female,Computer Science,1,8.9,1,0,1
24,Female,Mechanical,0,8.3,0,0,1
22,Female,Computer Science,0,7.0,0,0,1
24,Male,Information Technology,0,6.8,0,0,1
24,Female,Electronics And Communication,1,8.1,0,1,1
23,Female,Mechanical,1,9.0,1,0,1
21,Female,Electronics And Communication,1,8.1,1,0,1
25,Female,Mechanical,0,9.2,0,0,1
22,Female,Electronics And Communication,1,6.4,0,0,1
22,Male,Civil,1,6.5,1,1,0
20,Male,Computer Science,0,6.1,0,0,0
24,Female,Mechanical,1,7.6,0,0,1
24,Female,Computer Science,0,7.4,0,0,1
20,Female,Civil,0,7.1,1,0,0
23,Male,Electronics And Communication,1,7.9,0,1,1
22,Male,Electronics And Communication,1,8.3,0,1,1
24,Male,Computer Science,0,5.8,1,1,0
22,Female,Electronics And Communication,1,6.7,0,0,1
24,Male,Electronics And Communication,0,7.9,1,1,0
23,Male,Electrical,1,6.8,0,1,1
27,Male,Electrical,1,6.5,0,0,1
21,Male,Computer Science,1,8.1,0,1,1
22,Female,Civil,1,6.0,0,1,1
21,Female,Information Technology,0,6.9,1,0,1
26,Female,Computer Science,0,7.5,1,0,1
26,Male,Information Technology,1,6.7,0,1,1
22,Female,Information Technology,0,7.9,0,0,1
24,Male,Electrical,1,6.7,0,1,1
25,Female,Computer Science,0,8.5,1,1,0
23,Male,Information Technology,0,7.1,1,1,1
23,Male,Electronics And Communication,0,7.8,0,0,1
22,Female,Electronics And Communication,1,7.9,1,0,1
21,Female,Electronics And Communication,0,6.6,1,0,0
26,Male,Electrical,1,5.4,1,1,0
26,Female,Mechanical,0,7.5,0,1,0
24,Male,Mechanical,0,7.3,0,1,0
22,Male,Information Technology,1,7.7,0,0,1
22,Male,Computer Science,1,7.0,1,1,1
24,Male,Electronics And Communication,1,6.8,1,1,1
26,Male,Computer Science,1,9.0,1,0,1
26,Male,Computer Science,0,5.9,0,0,0
25,Male,Mechanical,0,7.9,0,1,0
24,Female,Information Technology,1,6.7,0,1,0
21,Male,Electronics And Communication,0,6.9,1,1,0
21,Female,Electronics And Communication,1,6.9,0,0,1
26,Male,Electronics And Communication,1,6.5,0,0,1
24,Female,Computer Science,0,7.7,1,1,0
20,Male,Civil,1,8.5,0,1,1
21,Male,Information Technology,0,7.6,0,1,0
24,Male,Mechanical,0,7.3,0,1,0
20,Male,Computer Science,0,6.3,1,0,0
21,Male,Computer Science,1,7.7,1,1,1
23,Female,Electronics And Communication,0,9.1,1,0,1
24,Female,Civil,1,6.9,1,0,0
24,Female,Mechanical,1,6.9,1,0,1
22,Female,Electronics And Communication,1,6.7,1,1,1
24,Male,Information Technology,1,6.8,1,1,0
22,Male,Computer Science,1,5.0,1,0,1
22,Male,Information Technology,0,7.6,0,0,1
24,Male,Electrical,1,6.4,0,1,0
24,Male,Information Technology,1,5.8,0,1,1
25,Male,Information Technology,1,7.9,1,1,1
24,Male,Electronics And Communication,1,6.2,1,0,1
23,Male,Electronics And Communication,1,6.9,1,0,1
21,Female,Electronics And Communication,1,8.5,0,0,1
22,Female,Electronics And Communication,1,5.9,0,0,1
22,Male,Mechanical,1,5.8,0,0,1
22,Female,Mechanical,1,7.4,1,0,1
28,Female,Electronics And Communication,0,8.2,0,0,1
23,Male,Mechanical,1,5.8,1,0,1
26,Male,Electronics And Communication,0,7.6,0,1,0
24,Male,Computer Science,1,7.7,0,0,1
25,Female,Computer Science,1,5.3,1,0,1
23,Female,Computer Science,1,7.9,0,1,1
23,Male,Computer Science,0,8.0,0,1,1
23,Male,Computer Science,1,6.9,1,1,1
22,Male,Computer Science,1,8.3,0,1,1
24,Male,Electrical,0,8.2,1,1,0
22,Male,Electronics And Communication,1,7.3,1,1,1
20,Female,Electronics And Communication,1,6.8,0,1,1
24,Female,Electronics And Communication,1,6.3,1,1,0
22,Female,Information Technology,0,7.2,0,0,1
27,Female,Electronics And Communication,1,7.7,1,0,1
27,Female,Mechanical,1,6.9,1,1,1
26,Male,Information Technology,0,5.2,1,0,0
23,Female,Information Technology,0,8.3,0,1,1
20,Male,Information Technology,1,7.4,0,0,1
26,Female,Electronics And Communication,1,6.9,0,0,1
23,Male,Electronics And Communication,1,8.0,1,1,1
27,Female,Computer Science,0,8.6,1,0,1
27,Male,Information Technology,0,5.0,0,1,0
25,Male,Electronics And Communication,0,7.6,1,1,1
22,Male,Electronics And Communication,0,5.9,0,1,0
23,Male,Electrical,1,7.6,0,0,1
25,Female,Electronics And Communication,1,7.3,0,1,1
22,Female,Mechanical,1,7.8,0,1,0
21,Male,Mechanical,0,6.8,0,1,0
23,Male,Computer Science,1,5.5,1,1,1
27,Male,Electronics And Communication,0,6.8,0,1,0
24,Male,Electronics And Communication,0,7.6,0,1,0
23,Male,Information Technology,1,8.1,1,1,1
21,Female,Information Technology,1,6.1,0,0,1
24,Male,Mechanical,1,8.1,1,0,1
29,Male,Civil,0,6.6,0,0,0
21,Male,Information Technology,1,7.5,1,0,1
23,Male,Electronics And Communication,1,6.7,1,1,1
26,Male,Computer Science,1,7.4,0,0,1
24,Female,Mechanical,0,8.0,1,1,1
24,Male,Electronics And Communication,1,6.1,1,0,1
24,Male,Electronics And Communication,1,6.6,1,0,1
22,Male,Information Technology,1,7.4,0,0,1
22,Male,Computer Science,0,9.4,0,0,1
25,Male,Civil,0,6.4,1,0,0
25,Female,Information Technology,0,9.0,1,0,1
25,Female,Electronics And Communication,0,9.0,0,1,1
26,Male,Electrical,1,7.1,0,0,1
23,Male,Computer Science,0,6.9,0,0,1
23,Male,Computer Science,0,6.6,0,1,0
25,Male,Computer Science,0,7.1,0,0,0
24,Female,Electronics And Communication,0,5.9,0,0,1
24,Female,Computer Science,0,7.1,0,0,1
25,Male,Electronics And Communication,1,8.5,0,0,1
26,Male,Computer Science,1,6.7,1,1,0
22,Male,Computer Science,0,7.0,0,0,1
23,Female,Mechanical,0,5.7,0,1,0
21,Female,Mechanical,0,7.5,0,1,0
23,Male,Electronics And Communication,0,7.4,1,0,0
20,Male,Computer Science,1,7.3,1,1,1
23,Female,Computer Science,1,7.0,1,0,1
23,Male,Electronics And Communication,1,6.9,0,0,1
22,Male,Mechanical,1,7.7,1,0,1
24,Male,Information Technology,0,7.2,0,0,1
20,Female,Electronics And Communication,1,7.5,0,1,1
20,Male,Computer Science,1,7.4,1,0,1
25,Male,Electronics And Communication,1,8.2,1,1,1
22,Female,Information Technology,0,7.8,1,1,1
21,Male,Electronics And Communication,1,7.4,1,0,1
23,Male,Electrical,1,8.6,1,1,1
24,Male,Mechanical,1,7.6,0,1,1
22,Male,Computer Science,0,8.4,0,0,1
24,Female,Information Technology,1,7.7,0,0,1
21,Male,Civil,1,5.5,1,0,1
21,Male,Information Technology,1,8.4,0,0,1
23,Male,Electronics And Communication,1,7.3,1,0,1
23,Female,Computer Science,1,7.2,0,0,1
24,Female,Mechanical,0,7.5,0,1,0
24,Male,Information Technology,1,6.9,0,1,0
28,Male,Information Technology,1,7.4,0,0,1
23,Female,Civil,1,6.7,1,0,1
22,Male,Civil,0,8.3,0,0,1
25,Female,Civil,1,7.1,0,0,1
22,Female,Electronics And Communication,1,6.9,0,0,1
23,Female,Information Technology,1,6.4,0,1,1
21,Male,Mechanical,1,7.4,0,0,1
20,Male,Mechanical,1,7.4,0,0,1
27,Female,Information Technology,1,7.5,1,0,1
25,Male,Electronics And Communication,0,6.3,0,1,0
24,Male,Mechanical,0,5.8,0,1,0
23,Female,Mechanical,0,7.8,1,0,1
22,Female,Electronics And Communication,0,8.5,0,0,1
21,Male,Computer Science,1,6.3,0,0,1
22,Male,Electronics And Communication,1,8.6,1,0,1
23,Male,Computer Science,1,7.5,0,1,1
24,Female,Electronics And Communication,0,7.2,1,1,0
24,Female,Computer Science,0,6.8,1,1,0
22,Male,Information Technology,1,6.0,1,0,1
27,Male,Information Technology,1,8.1,1,0,1
24,Female,Information Technology,0,6.5,0,1,1
23,Male,Mechanical,1,6.5,0,0,1
24,Male,Electronics And Communication,1,8.1,0,1,1
23,Female,Electronics And Communication,0,5.5,0,0,0
22,Male,Mechanical,1,5.8,1,0,1
22,Female,Electronics And Communication,0,7.2,1,1,1
24,Male,Electrical,1,7.5,1,0,1
20,Male,Mechanical,1,7.6,1,0,1
21,Female,Information Technology,0,6.9,0,0,1
20,Male,Electrical,1,9.5,1,1,1
20,Female,Electronics And Communication,1,7.0,1,0,1
25,Male,Computer Science,1,7.0,1,0,1
24,Male,Information Technology,0,6.5,0,1,0
23,Male,Computer Science,0,7.3,1,0,1
21,Male,Civil,0,7.8,0,1,0
23,Male,Electronics And Communication,1,8.3,1,0,1
23,Male,Information Technology,1,5.9,1,1,1
22,Male,Information Technology,0,7.0,0,0,1
23,Male,Information Technology,1,7.6,1,1,1
23,Female,Computer Science,1,7.7,1,1,1
24,Female,Computer Science,1,7.2,0,1,1
24,Female,Mechanical,1,7.7,1,0,1
20,Male,Electronics And Communication,1,6.5,1,0,1
23,Male,Mechanical,1,8.6,1,1,1
24,Female,Information Technology,1,8.1,1,0,1
23,Male,Mechanical,0,6.0,0,0,0
25,Male,Information Technology,0,6.2,1,1,0
24,Female,Electronics And Communication,0,6.3,0,0,1
21,Female,Information Technology,1,7.8,0,1,0
21,Male,Civil,0,6.0,1,0,0
24,Male,Computer Science,0,6.9,1,1,1
20,Female,Electrical,1,7.6,1,0,1
23,Male,Computer Science,0,7.1,1,0,1
27,Female,Electronics And Communication,0,7.4,1,1,1
23,Female,Computer Science,0,6.2,0,0,0
23,Female,Electrical,1,7.7,1,1,1
24,Male,Computer Science,0,6.6,0,1,0
23,Male,Civil,1,6.9,1,0,1
23,Female,Civil,1,7.4,1,1,1
27,Female,Computer Science,1,7.3,1,0,1
23,Female,Electronics And Communication,1,7.2,0,1,1
27,Male,Mechanical,1,6.5,1,0,1
26,Male,Computer Science,0,6.9,1,1,0
22,Female,Mechanical,0,7.2,1,1,0
21,Female,Computer Science,0,6.0,0,0,0
21,Female,Computer Science,0,6.8,1,1,1
20,Female,Mechanical,0,7.5,1,0,0
21,Male,Computer Science,0,6.1,1,0,1
24,Female,Computer Science,1,8.2,1,0,1
21,Female,Computer Science,1,8.3,0,0,1
22,Male,Computer Science,0,6.1,0,0,1
25,Female,Information Technology,1,8.4,0,0,1
20,Male,Mechanical,0,7.1,0,0,1
25,Male,Computer Science,0,7.6,1,0,1
22,Female,Information Technology,1,6.8,0,0,1
21,Male,Information Technology,0,8.0,0,1,0
24,Male,Computer Science,0,7.6,0,1,0
24,Male,Computer Science,0,6.5,1,0,1
26,Male,Civil,1,6.2,0,1,0
24,Male,Mechanical,1,5.9,0,1,0
25,Male,Information Technology,0,7.4,0,1,0
22,Female,Information Technology,1,7.7,0,0,1
22,Male,Electronics And Communication,1,7.8,1,0,1
24,Male,Information Technology,1,7.1,0,1,1
25,Male,Information Technology,1,6.2,1,1,0
29,Female,Information Technology,0,6.6,1,0,0
23,Male,Computer Science,0,8.2,1,0,1
23,Female,Electronics And Communication,1,6.8,1,1,1
25,Female,Electronics And Communication,1,7.3,1,1,1
22,Female,Electrical,1,6.2,1,1,0
27,Male,Computer Science,1,7.5,1,0,1
25,Female,Computer Science,1,6.8,0,0,1
23,Male,Electronics And Communication,1,8.1,0,0,1
24,Female,Electronics And Communication,1,7.9,1,0,1
24,Female,Information Technology,1,6.8,1,0,1
21,Male,Information Technology,1,7.1,1,1,1
26,Male,Information Technology,0,6.7,1,0,1
23,Male,Computer Science,0,5.9,0,1,0
25,Female,Mechanical,1,6.4,1,0,0
22,Male,Electronics And Communication,1,7.4,0,0,1
26,Male,Electronics And Communication,1,7.5,0,0,1
23,Male,Computer Science,1,7.3,1,0,1
20,Female,Computer Science,0,6.9,0,1,0
26,Female,Computer Science,0,8.0,1,0,0
21,Female,Information Technology,1,7.3,1,0,1
22,Female,Information Technology,0,7.8,0,0,1
27,Male,Mechanical,0,5.6,1,0,0
27,Male,Computer Science,0,5.0,1,1,0
23,Female,Electronics And Communication,0,7.5,0,0,1
24,Male,Computer Science,1,5.9,0,1,1
23,Male,Electrical,0,7.0,1,1,0
22,Male,Information Technology,1,6.9,0,0,1
22,Male,Information Technology,0,8.6,1,0,1
24,Male,Electronics And Communication,1,7.6,0,1,0
24,Female,Information Technology,0,7.3,1,1,0
25,Male,Electronics And Communication,1,8.0,1,0,1
25,Male,Information Technology,1,7.5,0,0,1
21,Male,Civil,0,6.8,1,0,1
23,Female,Electrical,1,8.2,1,0,1
21,Male,Information Technology,1,6.2,1,0,1
23,Female,Computer Science,0,7.5,1,0,1
23,Female,Electrical,0,5.8,1,0,0
26,Male,Information Technology,1,7.4,1,0,1
22,Female,Electronics And Communication,1,7.4,1,0,1
21,Female,Computer Science,0,8.7,1,1,1
21,Female,Computer Science,0,5.8,0,0,0
24,Female,Computer Science,1,6.7,1,1,1
24,Male,Computer Science,1,7.9,0,0,1
21,Male,Information Technology,1,7.5,0,1,1
21,Male,Computer Science,0,7.4,0,0,1
24,Male,Electronics And Communication,1,6.3,0,1,0
21,Female,Information Technology,0,6.7,0,0,1
25,Male,Mechanical,0,8.3,0,0,1
24,Female,Information Technology,1,7.2,0,1,1
21,Female,Computer Science,1,7.5,1,0,1
21,Female,Civil,0,7.1,0,1,0
28,Female,Civil,1,6.1,0,0,1
23,Male,Electronics And Communication,1,8.0,0,0,1
23,Male,Electronics And Communication,1,7.7,0,0,1
25,Male,Mechanical,1,9.3,0,1,1
27,Male,Mechanical,1,6.3,1,0,0
28,Male,Electrical,0,7.9,1,1,0
24,Male,Civil,1,6.0,1,0,0
23,Female,Information Technology,1,7.3,1,1,1
21,Male,Information Technology,1,8.1,0,0,1
25,Male,Electronics And Communication,1,5.3,0,0,1
23,Female,Computer Science,1,7.0,0,0,1
23,Male,Computer Science,0,6.7,1,0,0
26,Male,Information Technology,0,6.6,0,0,0
21,Female,Information Technology,1,7.5,1,0,1
23,Female,Mechanical,0,8.2,0,0,1
20,Female,Computer Science,0,7.1,0,0,1
23,Male,Information Technology,1,7.4,1,0,1
21,Female,Electronics And Communication,1,7.3,1,0,1
21,Female,Computer Science,0,7.2,1,0,0
21,Male,Mechanical,1,6.2,1,1,0
24,Female,Information Technology,1,8.2,1,1,1
24,Female,Electrical,1,7.5,1,0,1
23,Male,Computer Science,1,7.6,1,1,1
27,Male,Computer Science,0,6.5,0,1,0
23,Female,Computer Science,0,6.8,1,0,1
22,Female,Computer Science,0,7.0,1,0,1
25,Male,Mechanical,1,5.8,0,1,0
22,Female,Information Technology,1,5.7,1,1,0
27,Male,Civil,1,6.7,1,1,0
20,Male,Electronics And Communication,1,7.7,1,1,1
27,Male,Civil,1,6.6,0,0,0
20,Female,Electronics And Communication,1,6.3,0,0,1
26,Female,Civil,0,6.5,1,0,0
23,Male,Computer Science,0,6.8,1,0,1
29,Male,Computer Science,1,6.9,0,0,1
21,Male,Information Technology,0,9.1,1,0,1
23,Female,Electrical,0,8.1,0,0,0
27,Female,Electronics And Communication,1,8.1,1,0,1
23,Female,Computer Science,0,8.3,0,0,1
24,Female,Mechanical,1,6.3,0,0,1
24,Female,Computer Science,0,6.1,1,0,0
23,Male,Electronics And Communication,0,6.2,0,0,0
24,Male,Computer Science,0,8.4,0,1,1
23,Male,Computer Science,1,6.7,0,1,1
26,Female,Civil,0,6.1,0,0,0
20,Female,Mechanical,1,6.8,0,0,1
22,Male,Information Technology,1,7.0,1,1,1
27,Female,Electrical,1,7.4,1,0,1
26,Male,Computer Science,0,7.4,1,1,1
23,Male,Electronics And Communication,1,6.5,1,0,1
24,Female,Computer Science,1,7.8,0,1,0
22,Female,Computer Science,1,6.6,0,1,1
22,Female,Electronics And Communication,1,7.1,0,1,1
23,Male,Electrical,0,7.8,1,0,0
22,Male,Mechanical,1,6.6,1,1,0
23,Female,Computer Science,0,6.7,0,1,0
21,Male,Information Technology,0,7.7,0,1,0
28,Male,Mechanical,0,6.4,1,0,0
28,Female,Electrical,1,6.9,1,1,0
24,Male,Civil,1,7.7,1,0,1
23,Female,Information Technology,0,9.0,0,0,1
22,Female,Mechanical,1,7.7,1,0,1
25,Male,Information Technology,0,7.6,0,0,1
24,Male,Information Technology,1,7.7,1,1,1
21,Female,Electronics And Communication,0,6.2,1,1,0
26,Female,Electronics And Communication,0,7.3,1,0,0
25,Female,Information Technology,0,7.2,0,1,0
27,Female,Computer Science,0,7.5,0,1,1
24,Female,Electronics And Communication,1,7.3,0,0,1
24,Female,Mechanical,0,7.5,0,0,0
23,Male,Electronics And Communication,1,6.9,1,0,1
27,Male,Information Technology,0,7.3,1,0,1
25,Male,Information Technology,1,6.1,0,0,1
20,Male,Electrical,1,6.9,0,0,1
20,Male,Computer Science,0,8.5,0,0,1
23,Male,Electronics And Communication,1,7.5,1,1,1
25,Female,Information Technology,0,7.2,1,1,0
28,Male,Mechanical,1,8.9,0,0,1
21,Male,Electrical,0,6.0,0,0,0
24,Male,Computer Science,1,6.2,1,0,1
23,Male,Computer Science,1,8.7,1,0,1
27,Male,Civil,1,7.2,0,0,1
25,Male,Electronics And Communication,1,7.0,1,0,1
25,Male,Information Technology,1,6.1,1,0,0
23,Female,Computer Science,0,7.6,1,0,1
23,Female,Electronics And Communication,1,7.7,1,0,1
22,Female,Computer Science,1,6.2,0,1,0
21,Female,Computer Science,0,7.1,1,0,1
25,Male,Information Technology,1,6.9,0,0,1
25,Female,Electrical,0,7.4,0,0,0
29,Female,Computer Science,1,6.2,0,1,1
29,Male,Mechanical,1,8.3,0,1,1
23,Female,Electronics And Communication,0,8.0,0,0,1
24,Male,Information Technology,1,6.9,1,1,1
27,Female,Electronics And Communication,0,7.0,1,0,1
25,Female,Civil,0,7.1,1,1,1
22,Male,Mechanical,0,6.5,0,0,0
23,Female,Information Technology,1,6.8,0,0,1
21,Female,Mechanical,0,7.0,1,1,0
27,Female,Information Technology,0,8.7,0,0,1
24,Male,Electrical,1,8.1,1,1,1
22,Female,Information Technology,0,8.0,0,0,1
24,Male,Civil,0,7.5,1,1,0
24,Male,Information Technology,0,6.2,0,0,1
22,Male,Electronics And Communication,0,7.2,1,0,1
21,Female,Information Technology,1,8.1,1,1,1
24,Female,Electronics And Communication,0,6.1,1,1,0
23,Female,Information Technology,1,7.8,1,1,1
25,Female,Computer Science,1,9.3,0,1,1
23,Male,Information Technology,0,8.2,1,1,1
25,Male,Electronics And Communication,0,8.5,0,0,1
23,Male,Electronics And Communication,0,7.4,1,0,1
23,Male,Computer Science,1,8.1,0,0,1
26,Male,Electrical,0,6.6,1,0,0
23,Male,Computer Science,0,7.9,1,1,1
21,Male,Computer Science,1,7.8,0,0,1
20,Male,Information Technology,0,7.5,0,1,1
24,Male,Information Technology,0,8.4,0,0,0
24,Male,Computer Science,1,6.7,1,1,1
24,Female,Computer Science,1,7.0,0,0,1
22,Female,Electronics And Communication,0,7.3,1,0,1
21,Female,Electrical,1,6.3,1,1,1
20,Male,Electronics And Communication,0,7.4,1,0,1
22,Male,Computer Science,1,5.7,1,0,1
23,Female,Electronics And Communication,1,8.1,0,0,1
23,Male,Computer Science,1,7.2,1,0,1
23,Male,Mechanical,1,6.7,1,0,1
26,Male,Electronics And Communication,1,6.4,1,1,0
22,Male,Electronics And Communication,1,7.0,1,0,1
23,Male,Computer Science,1,7.8,1,0,1
25,Male,Electronics And Communication,0,7.7,0,0,1
23,Female,Electronics And Communication,1,6.6,1,1,1
24,Male,Mechanical,1,6.4,1,1,0
25,Male,Mechanical,1,7.8,1,0,1
27,Female,Civil,0,6.5,1,0,0
21,Male,Mechanical,1,7.3,0,0,1
26,Male,Information Technology,1,7.3,1,1,1
23,Female,Electronics And Communication,1,7.5,1,1,1
22,Male,Mechanical,1,8.0,0,1,0
23,Male,Mechanical,0,6.1,1,0,0
28,Male,Mechanical,0,5.5,0,0,0
23,Male,Information Technology,0,6.7,1,0,1
22,Male,Computer Science,0,8.8,0,0,1
24,Female,Mechanical,1,9.0,1,0,1
22,Male,Mechanical,1,8.8,0,0,1
21,Male,Electrical,1,7.0,1,1,0
21,Male,Electronics And Communication,1,5.6,0,0,1
21,Male,Computer Science,0,5.1,0,1,0
21,Female,Electronics And Communication,0,6.6,1,0,1
21,Male,Mechanical,0,7.0,0,1,0
